filename,group
132.npz,C 1 2/c 1 (No. 15)
133.npz,P 21 21 21 (No. 19)
134.npz,P 1 21/c 1 (No. 14)
135.npz,C 1 2/c 1 (No. 15)
136.npz,P 21 21 21 (No. 19)
137.npz,P 1 21/c 1 (No. 14)
138.npz,P 21 21 21 (No. 19)
139.npz,P 1 21 1 (No. 4)
140.npz,P 1 21 1 (No. 4)
141.npz,P 21 21 21 (No. 19)
142.npz,P 21 21 21 (No. 19)
143.npz,P 1 21/c 1 (No. 14)
144.npz,P 1 21/c 1 (No. 14)
145.npz,P b c a (No. 61)
146.npz,P b c a (No. 61)
147.npz,C 1 2/c 1 (No. 15)
148.npz,P -1 (No. 2)
149.npz,P b c a (No. 61)
150.npz,P -1 (No. 2)
151.npz,P b c a (No. 61)
152.npz,P 1 21/c 1 (No. 14)
153.npz,P 1 21 1 (No. 4)
154.npz,P 1 21/c 1 (No. 14)
155.npz,P 1 21 1 (No. 4)
156.npz,P 1 21 1 (No. 4)
157.npz,P 21 21 21 (No. 19)
158.npz,P 21 21 21 (No. 19)
159.npz,P -1 (No. 2)
160.npz,P b c a (No. 61)
161.npz,P -1 (No. 2)
162.npz,C 1 2/c 1 (No. 15)
163.npz,P b c a (No. 61)
164.npz,P -1 (No. 2)
165.npz,P 21 21 21 (No. 19)
166.npz,P -1 (No. 2)
167.npz,P 21 21 21 (No. 19)
168.npz,P 21 21 21 (No. 19)
169.npz,P b c a (No. 61)
170.npz,P b c a (No. 61)
171.npz,P 1 21/c 1 (No. 14)
172.npz,P b c a (No. 61)
173.npz,P b c a (No. 61)
174.npz,P 1 21/c 1 (No. 14)
175.npz,P b c a (No. 61)
176.npz,P 1 21/c 1 (No. 14)
177.npz,P b c a (No. 61)
178.npz,P -1 (No. 2)
179.npz,P b c a (No. 61)
180.npz,P 1 21 1 (No. 4)
181.npz,P 1 21/c 1 (No. 14)
182.npz,P b c a (No. 61)
183.npz,P b c a (No. 61)
184.npz,P 1 21 1 (No. 4)
185.npz,P b c a (No. 61)
186.npz,P 21 21 21 (No. 19)
187.npz,P 21 21 21 (No. 19)
188.npz,P 1 21 1 (No. 4)
189.npz,P 1 21/c 1 (No. 14)
190.npz,P b c a (No. 61)
191.npz,C 1 2/c 1 (No. 15)
192.npz,P 1 21/c 1 (No. 14)
193.npz,P -1 (No. 2)
194.npz,P 21 21 21 (No. 19)
195.npz,P b c a (No. 61)
196.npz,P -1 (No. 2)
197.npz,P -1 (No. 2)
198.npz,P -1 (No. 2)
199.npz,P 1 21/c 1 (No. 14)
200.npz,P -1 (No. 2)
201.npz,P 1 21 1 (No. 4)
202.npz,C 1 2/c 1 (No. 15)
203.npz,P 1 21 1 (No. 4)
204.npz,C 1 2/c 1 (No. 15)
205.npz,P 21 21 21 (No. 19)
206.npz,P -1 (No. 2)
207.npz,C 1 2/c 1 (No. 15)
208.npz,P 1 21/c 1 (No. 14)
209.npz,P 1 21 1 (No. 4)
210.npz,P 1 21 1 (No. 4)
211.npz,P 1 21/c 1 (No. 14)
212.npz,P 1 21/c 1 (No. 14)
213.npz,P 1 21 1 (No. 4)
214.npz,P 21 21 21 (No. 19)
215.npz,P -1 (No. 2)
216.npz,P 1 21 1 (No. 4)
217.npz,P -1 (No. 2)
218.npz,P -1 (No. 2)
219.npz,P 1 21/c 1 (No. 14)
220.npz,C 1 2/c 1 (No. 15)
221.npz,P 1 21 1 (No. 4)
222.npz,P 21 21 21 (No. 19)
223.npz,P 1 21/c 1 (No. 14)
224.npz,P 1 21 1 (No. 4)
225.npz,C 1 2/c 1 (No. 15)
226.npz,P 1 21 1 (No. 4)
227.npz,C 1 2/c 1 (No. 15)
228.npz,P 21 21 21 (No. 19)
229.npz,P 21 21 21 (No. 19)
230.npz,P 21 21 21 (No. 19)
231.npz,P 1 21 1 (No. 4)
232.npz,P b c a (No. 61)
233.npz,P 1 21 1 (No. 4)
234.npz,P 21 21 21 (No. 19)
235.npz,C 1 2/c 1 (No. 15)
236.npz,P -1 (No. 2)
237.npz,P -1 (No. 2)
238.npz,P 21 21 21 (No. 19)
239.npz,P 1 21 1 (No. 4)
240.npz,P b c a (No. 61)
241.npz,P 1 21/c 1 (No. 14)
242.npz,P b c a (No. 61)
243.npz,P 21 21 21 (No. 19)
244.npz,P b c a (No. 61)
245.npz,P 1 21/c 1 (No. 14)
246.npz,C 1 2/c 1 (No. 15)
247.npz,P b c a (No. 61)
248.npz,P -1 (No. 2)
249.npz,P 1 21/c 1 (No. 14)
250.npz,P -1 (No. 2)
251.npz,P b c a (No. 61)
252.npz,P 1 21 1 (No. 4)
253.npz,C 1 2/c 1 (No. 15)
254.npz,P -1 (No. 2)
255.npz,P b c a (No. 61)
256.npz,C 1 2/c 1 (No. 15)
257.npz,P b c a (No. 61)
258.npz,P -1 (No. 2)
259.npz,P b c a (No. 61)
260.npz,C 1 2/c 1 (No. 15)
261.npz,P 21 21 21 (No. 19)
262.npz,P 21 21 21 (No. 19)
263.npz,P 1 21 1 (No. 4)
264.npz,C 1 2/c 1 (No. 15)
265.npz,P 1 21/c 1 (No. 14)
266.npz,C 1 2/c 1 (No. 15)
267.npz,P -1 (No. 2)
268.npz,P 1 21/c 1 (No. 14)
269.npz,P 1 21/c 1 (No. 14)
270.npz,P 1 21/c 1 (No. 14)
271.npz,P b c a (No. 61)
272.npz,P -1 (No. 2)
273.npz,P 1 21/c 1 (No. 14)
274.npz,C 1 2/c 1 (No. 15)
275.npz,C 1 2/c 1 (No. 15)
276.npz,P 1 21 1 (No. 4)
277.npz,P 21 21 21 (No. 19)
278.npz,P 21 21 21 (No. 19)
279.npz,C 1 2/c 1 (No. 15)
280.npz,P 21 21 21 (No. 19)
281.npz,P -1 (No. 2)
282.npz,P 1 21/c 1 (No. 14)
283.npz,P b c a (No. 61)
284.npz,C 1 2/c 1 (No. 15)
285.npz,P 1 21/c 1 (No. 14)
286.npz,P -1 (No. 2)
287.npz,P 1 21/c 1 (No. 14)
288.npz,P b c a (No. 61)
289.npz,C 1 2/c 1 (No. 15)
290.npz,P b c a (No. 61)
291.npz,P 1 21/c 1 (No. 14)
292.npz,P b c a (No. 61)
293.npz,P -1 (No. 2)
294.npz,P 1 21/c 1 (No. 14)
295.npz,P 21 21 21 (No. 19)
296.npz,P -1 (No. 2)
297.npz,P -1 (No. 2)
298.npz,P 1 21 1 (No. 4)
299.npz,P 21 21 21 (No. 19)
300.npz,P 21 21 21 (No. 19)
301.npz,P 1 21/c 1 (No. 14)
302.npz,P -1 (No. 2)
303.npz,P 1 21 1 (No. 4)
304.npz,C 1 2/c 1 (No. 15)
305.npz,P -1 (No. 2)
306.npz,P -1 (No. 2)
307.npz,P -1 (No. 2)
308.npz,P 1 21 1 (No. 4)
309.npz,P 1 21/c 1 (No. 14)
310.npz,P 21 21 21 (No. 19)
311.npz,P b c a (No. 61)
312.npz,P b c a (No. 61)
313.npz,P -1 (No. 2)
314.npz,P 1 21/c 1 (No. 14)
315.npz,P b c a (No. 61)
316.npz,P 1 21 1 (No. 4)
317.npz,P 1 21 1 (No. 4)
318.npz,C 1 2/c 1 (No. 15)
319.npz,C 1 2/c 1 (No. 15)
320.npz,P b c a (No. 61)
321.npz,P 1 21/c 1 (No. 14)
322.npz,P b c a (No. 61)
323.npz,C 1 2/c 1 (No. 15)
324.npz,P -1 (No. 2)
325.npz,P 1 21 1 (No. 4)
326.npz,P 1 21 1 (No. 4)
327.npz,C 1 2/c 1 (No. 15)
328.npz,P 1 21/c 1 (No. 14)
329.npz,P 21 21 21 (No. 19)
330.npz,P -1 (No. 2)
331.npz,P 1 21/c 1 (No. 14)
332.npz,P 21 21 21 (No. 19)
333.npz,C 1 2/c 1 (No. 15)
334.npz,P b c a (No. 61)
335.npz,P -1 (No. 2)
336.npz,P 21 21 21 (No. 19)
337.npz,C 1 2/c 1 (No. 15)
338.npz,P b c a (No. 61)
339.npz,C 1 2/c 1 (No. 15)
340.npz,P 21 21 21 (No. 19)
341.npz,P b c a (No. 61)
342.npz,P 1 21 1 (No. 4)
343.npz,P -1 (No. 2)
344.npz,P b c a (No. 61)
345.npz,P 1 21/c 1 (No. 14)
346.npz,P -1 (No. 2)
347.npz,P -1 (No. 2)
348.npz,P 1 21 1 (No. 4)
349.npz,P 21 21 21 (No. 19)
350.npz,C 1 2/c 1 (No. 15)
351.npz,P 1 21 1 (No. 4)
352.npz,P -1 (No. 2)
353.npz,P 21 21 21 (No. 19)
354.npz,P 1 21 1 (No. 4)
355.npz,P 1 21 1 (No. 4)
356.npz,P 1 21 1 (No. 4)
357.npz,C 1 2/c 1 (No. 15)
358.npz,P -1 (No. 2)
359.npz,P b c a (No. 61)
360.npz,P b c a (No. 61)
361.npz,P -1 (No. 2)
362.npz,P -1 (No. 2)
363.npz,P b c a (No. 61)
364.npz,P b c a (No. 61)
365.npz,P 21 21 21 (No. 19)
366.npz,P -1 (No. 2)
367.npz,P -1 (No. 2)
368.npz,P -1 (No. 2)
369.npz,P 21 21 21 (No. 19)
370.npz,P 1 21/c 1 (No. 14)
371.npz,P 1 21 1 (No. 4)
372.npz,P 21 21 21 (No. 19)
373.npz,P 1 21/c 1 (No. 14)
374.npz,P 1 21/c 1 (No. 14)
375.npz,P 21 21 21 (No. 19)
376.npz,P -1 (No. 2)
377.npz,P 1 21/c 1 (No. 14)
378.npz,C 1 2/c 1 (No. 15)
379.npz,C 1 2/c 1 (No. 15)
380.npz,P -1 (No. 2)
381.npz,P b c a (No. 61)
382.npz,P 1 21 1 (No. 4)
383.npz,P 21 21 21 (No. 19)
384.npz,P b c a (No. 61)
385.npz,P 21 21 21 (No. 19)
386.npz,P -1 (No. 2)
387.npz,P 1 21 1 (No. 4)
388.npz,C 1 2/c 1 (No. 15)
389.npz,P 1 21/c 1 (No. 14)
390.npz,P b c a (No. 61)
391.npz,P 21 21 21 (No. 19)
392.npz,P 1 21/c 1 (No. 14)
393.npz,P 1 21 1 (No. 4)
394.npz,P -1 (No. 2)
395.npz,P 1 21 1 (No. 4)
396.npz,P 1 21/c 1 (No. 14)
397.npz,P 21 21 21 (No. 19)
398.npz,P 1 21/c 1 (No. 14)
399.npz,P -1 (No. 2)
400.npz,P 21 21 21 (No. 19)
401.npz,C 1 2/c 1 (No. 15)
402.npz,P 1 21 1 (No. 4)
403.npz,C 1 2/c 1 (No. 15)
404.npz,P -1 (No. 2)
405.npz,P 1 21/c 1 (No. 14)
406.npz,C 1 2/c 1 (No. 15)
407.npz,P 1 21 1 (No. 4)
408.npz,P 1 21 1 (No. 4)
409.npz,P -1 (No. 2)
410.npz,C 1 2/c 1 (No. 15)
411.npz,P 21 21 21 (No. 19)
412.npz,P 21 21 21 (No. 19)
413.npz,P 1 21 1 (No. 4)
414.npz,P 21 21 21 (No. 19)
415.npz,C 1 2/c 1 (No. 15)
416.npz,P -1 (No. 2)
417.npz,C 1 2/c 1 (No. 15)
418.npz,P 1 21/c 1 (No. 14)
419.npz,C 1 2/c 1 (No. 15)
420.npz,P -1 (No. 2)
421.npz,P b c a (No. 61)
422.npz,P 21 21 21 (No. 19)
423.npz,P 21 21 21 (No. 19)
424.npz,P -1 (No. 2)
425.npz,P 1 21 1 (No. 4)
426.npz,P 1 21/c 1 (No. 14)
427.npz,P 1 21 1 (No. 4)
428.npz,P -1 (No. 2)
429.npz,P 21 21 21 (No. 19)
430.npz,P 1 21 1 (No. 4)
431.npz,P 1 21 1 (No. 4)
432.npz,P -1 (No. 2)
433.npz,P 1 21/c 1 (No. 14)
434.npz,P b c a (No. 61)
435.npz,P 1 21/c 1 (No. 14)
436.npz,C 1 2/c 1 (No. 15)
437.npz,P 1 21/c 1 (No. 14)
438.npz,P 1 21/c 1 (No. 14)
439.npz,C 1 2/c 1 (No. 15)
440.npz,P 1 21/c 1 (No. 14)
441.npz,P b c a (No. 61)
442.npz,P 21 21 21 (No. 19)
443.npz,P -1 (No. 2)
444.npz,P 1 21 1 (No. 4)
445.npz,P -1 (No. 2)
446.npz,P 1 21/c 1 (No. 14)
447.npz,P -1 (No. 2)
448.npz,P 1 21/c 1 (No. 14)
449.npz,P 21 21 21 (No. 19)
450.npz,P b c a (No. 61)
451.npz,P 1 21 1 (No. 4)
452.npz,P 1 21/c 1 (No. 14)
453.npz,P 1 21/c 1 (No. 14)
454.npz,P -1 (No. 2)
455.npz,P -1 (No. 2)
456.npz,P 1 21 1 (No. 4)
457.npz,P 21 21 21 (No. 19)
458.npz,P 21 21 21 (No. 19)
459.npz,P 1 21 1 (No. 4)
460.npz,P b c a (No. 61)
461.npz,P 21 21 21 (No. 19)
462.npz,P -1 (No. 2)
463.npz,P 1 21/c 1 (No. 14)
464.npz,C 1 2/c 1 (No. 15)
465.npz,P 1 21/c 1 (No. 14)
466.npz,P 1 21 1 (No. 4)
467.npz,C 1 2/c 1 (No. 15)
468.npz,P -1 (No. 2)
469.npz,P -1 (No. 2)
470.npz,P -1 (No. 2)
471.npz,P 21 21 21 (No. 19)
472.npz,P b c a (No. 61)
473.npz,P 1 21/c 1 (No. 14)
474.npz,P 1 21/c 1 (No. 14)
475.npz,P 1 21/c 1 (No. 14)
476.npz,P 1 21 1 (No. 4)
477.npz,P -1 (No. 2)
478.npz,P 1 21/c 1 (No. 14)
479.npz,P b c a (No. 61)
480.npz,P -1 (No. 2)
481.npz,P 1 21 1 (No. 4)
482.npz,C 1 2/c 1 (No. 15)
483.npz,C 1 2/c 1 (No. 15)
484.npz,P 1 21 1 (No. 4)
485.npz,P 1 21 1 (No. 4)
486.npz,P 21 21 21 (No. 19)
487.npz,P 1 21/c 1 (No. 14)
488.npz,P -1 (No. 2)
489.npz,C 1 2/c 1 (No. 15)
490.npz,P 1 21/c 1 (No. 14)
491.npz,C 1 2/c 1 (No. 15)
492.npz,P b c a (No. 61)
493.npz,C 1 2/c 1 (No. 15)
494.npz,P b c a (No. 61)
495.npz,P -1 (No. 2)
496.npz,P 1 21/c 1 (No. 14)
497.npz,P b c a (No. 61)
498.npz,P 1 21/c 1 (No. 14)
499.npz,P 1 21/c 1 (No. 14)
500.npz,P 1 21/c 1 (No. 14)
501.npz,P 21 21 21 (No. 19)
502.npz,P 1 21 1 (No. 4)
503.npz,P 1 21/c 1 (No. 14)
504.npz,P 21 21 21 (No. 19)
505.npz,P 1 21 1 (No. 4)
506.npz,P 21 21 21 (No. 19)
507.npz,P b c a (No. 61)
508.npz,P -1 (No. 2)
509.npz,P 1 21 1 (No. 4)
510.npz,P b c a (No. 61)
511.npz,P 21 21 21 (No. 19)
512.npz,P 1 21 1 (No. 4)
513.npz,P 1 21/c 1 (No. 14)
514.npz,P b c a (No. 61)
515.npz,P 1 21 1 (No. 4)
516.npz,P 1 21 1 (No. 4)
517.npz,P -1 (No. 2)
518.npz,P b c a (No. 61)
519.npz,P 1 21/c 1 (No. 14)
520.npz,P -1 (No. 2)
521.npz,P b c a (No. 61)
522.npz,C 1 2/c 1 (No. 15)
523.npz,P 1 21/c 1 (No. 14)
524.npz,P 1 21 1 (No. 4)
525.npz,P 21 21 21 (No. 19)
526.npz,P 21 21 21 (No. 19)
527.npz,P 1 21 1 (No. 4)
528.npz,P 1 21 1 (No. 4)
529.npz,P 1 21 1 (No. 4)
530.npz,C 1 2/c 1 (No. 15)
531.npz,P 1 21 1 (No. 4)
532.npz,P b c a (No. 61)
533.npz,P -1 (No. 2)
534.npz,C 1 2/c 1 (No. 15)
535.npz,P 1 21 1 (No. 4)
536.npz,P 1 21 1 (No. 4)
537.npz,P 1 21/c 1 (No. 14)
538.npz,P 1 21/c 1 (No. 14)
539.npz,P 1 21/c 1 (No. 14)
540.npz,P 21 21 21 (No. 19)
541.npz,P 1 21/c 1 (No. 14)
542.npz,P 21 21 21 (No. 19)
543.npz,P 21 21 21 (No. 19)
544.npz,P 1 21 1 (No. 4)
545.npz,P 1 21/c 1 (No. 14)
546.npz,P -1 (No. 2)
547.npz,P b c a (No. 61)
548.npz,C 1 2/c 1 (No. 15)
549.npz,C 1 2/c 1 (No. 15)
550.npz,P b c a (No. 61)
551.npz,P 1 21 1 (No. 4)
552.npz,P 1 21 1 (No. 4)
553.npz,P 1 21 1 (No. 4)
554.npz,P b c a (No. 61)
555.npz,P b c a (No. 61)
556.npz,P 21 21 21 (No. 19)
557.npz,P 21 21 21 (No. 19)
558.npz,P -1 (No. 2)
559.npz,P 1 21 1 (No. 4)
560.npz,P b c a (No. 61)
561.npz,P -1 (No. 2)
562.npz,P b c a (No. 61)
563.npz,P b c a (No. 61)
564.npz,P 1 21 1 (No. 4)
565.npz,P 21 21 21 (No. 19)
566.npz,P -1 (No. 2)
567.npz,P 1 21 1 (No. 4)
568.npz,P 1 21/c 1 (No. 14)
569.npz,P 1 21/c 1 (No. 14)
570.npz,P 21 21 21 (No. 19)
571.npz,P -1 (No. 2)
572.npz,P 1 21 1 (No. 4)
573.npz,P 21 21 21 (No. 19)
574.npz,P b c a (No. 61)
575.npz,P -1 (No. 2)
576.npz,P -1 (No. 2)
577.npz,P b c a (No. 61)
578.npz,P 1 21/c 1 (No. 14)
579.npz,P 21 21 21 (No. 19)
580.npz,P b c a (No. 61)
581.npz,P 1 21/c 1 (No. 14)
582.npz,P 1 21 1 (No. 4)
583.npz,C 1 2/c 1 (No. 15)
584.npz,P 1 21 1 (No. 4)
585.npz,P b c a (No. 61)
586.npz,C 1 2/c 1 (No. 15)
587.npz,P 1 21 1 (No. 4)
588.npz,P -1 (No. 2)
589.npz,P 1 21/c 1 (No. 14)
590.npz,P 1 21 1 (No. 4)
591.npz,P 1 21/c 1 (No. 14)
592.npz,P b c a (No. 61)
593.npz,P b c a (No. 61)
594.npz,P 1 21/c 1 (No. 14)
595.npz,P 1 21 1 (No. 4)
596.npz,P 1 21 1 (No. 4)
597.npz,P -1 (No. 2)
598.npz,P 1 21 1 (No. 4)
599.npz,P 1 21 1 (No. 4)
600.npz,P 21 21 21 (No. 19)
601.npz,P 21 21 21 (No. 19)
602.npz,P 1 21 1 (No. 4)
603.npz,P 1 21/c 1 (No. 14)
604.npz,P -1 (No. 2)
605.npz,P 21 21 21 (No. 19)
606.npz,C 1 2/c 1 (No. 15)
607.npz,P 1 21 1 (No. 4)
608.npz,P 1 21/c 1 (No. 14)
609.npz,P b c a (No. 61)
610.npz,P 1 21/c 1 (No. 14)
611.npz,C 1 2/c 1 (No. 15)
612.npz,C 1 2/c 1 (No. 15)
613.npz,P -1 (No. 2)
614.npz,P 1 21 1 (No. 4)
615.npz,C 1 2/c 1 (No. 15)
616.npz,C 1 2/c 1 (No. 15)
617.npz,P -1 (No. 2)
618.npz,P -1 (No. 2)
619.npz,P 1 21 1 (No. 4)
620.npz,P 1 21/c 1 (No. 14)
621.npz,P 21 21 21 (No. 19)
622.npz,P 1 21/c 1 (No. 14)
623.npz,P 1 21 1 (No. 4)
624.npz,P -1 (No. 2)
625.npz,C 1 2/c 1 (No. 15)
626.npz,P 1 21 1 (No. 4)
627.npz,P 1 21/c 1 (No. 14)
628.npz,P b c a (No. 61)
629.npz,P -1 (No. 2)
630.npz,P 1 21 1 (No. 4)
631.npz,P -1 (No. 2)
632.npz,P 1 21 1 (No. 4)
633.npz,P 1 21/c 1 (No. 14)
634.npz,P 1 21 1 (No. 4)
635.npz,P -1 (No. 2)
636.npz,P 1 21/c 1 (No. 14)
637.npz,C 1 2/c 1 (No. 15)
638.npz,P 1 21/c 1 (No. 14)
639.npz,P b c a (No. 61)
640.npz,P 21 21 21 (No. 19)
641.npz,P 21 21 21 (No. 19)
642.npz,P 1 21 1 (No. 4)
643.npz,P -1 (No. 2)
644.npz,P 1 21 1 (No. 4)
645.npz,P -1 (No. 2)
646.npz,P 1 21/c 1 (No. 14)
647.npz,P 21 21 21 (No. 19)
648.npz,P b c a (No. 61)
649.npz,P 1 21 1 (No. 4)
650.npz,P 21 21 21 (No. 19)
651.npz,P 1 21/c 1 (No. 14)
652.npz,P -1 (No. 2)
653.npz,C 1 2/c 1 (No. 15)
654.npz,P b c a (No. 61)
655.npz,P 21 21 21 (No. 19)
656.npz,P -1 (No. 2)
657.npz,P b c a (No. 61)
658.npz,C 1 2/c 1 (No. 15)
659.npz,C 1 2/c 1 (No. 15)
660.npz,C 1 2/c 1 (No. 15)
661.npz,P 1 21/c 1 (No. 14)
662.npz,P -1 (No. 2)
663.npz,P 1 21/c 1 (No. 14)
664.npz,P 21 21 21 (No. 19)
665.npz,P 1 21 1 (No. 4)
666.npz,P -1 (No. 2)
667.npz,P -1 (No. 2)
668.npz,C 1 2/c 1 (No. 15)
669.npz,P -1 (No. 2)
670.npz,C 1 2/c 1 (No. 15)
671.npz,P 1 21/c 1 (No. 14)
672.npz,P b c a (No. 61)
673.npz,P -1 (No. 2)
674.npz,P 21 21 21 (No. 19)
675.npz,P b c a (No. 61)
676.npz,P 1 21/c 1 (No. 14)
677.npz,P 1 21 1 (No. 4)
678.npz,P b c a (No. 61)
679.npz,P b c a (No. 61)
680.npz,P b c a (No. 61)
681.npz,P 1 21 1 (No. 4)
682.npz,P b c a (No. 61)
683.npz,P b c a (No. 61)
684.npz,C 1 2/c 1 (No. 15)
685.npz,P -1 (No. 2)
686.npz,P 21 21 21 (No. 19)
687.npz,P 1 21 1 (No. 4)
688.npz,P b c a (No. 61)
689.npz,P 1 21/c 1 (No. 14)
690.npz,P 1 21/c 1 (No. 14)
691.npz,P b c a (No. 61)
692.npz,P 1 21/c 1 (No. 14)
693.npz,P -1 (No. 2)
694.npz,P 21 21 21 (No. 19)
695.npz,P 1 21/c 1 (No. 14)
696.npz,P -1 (No. 2)
697.npz,P 21 21 21 (No. 19)
698.npz,P b c a (No. 61)
699.npz,P 1 21/c 1 (No. 14)
700.npz,P 1 21/c 1 (No. 14)
701.npz,P -1 (No. 2)
702.npz,P -1 (No. 2)
703.npz,P 1 21 1 (No. 4)
704.npz,P b c a (No. 61)
705.npz,P 1 21 1 (No. 4)
706.npz,C 1 2/c 1 (No. 15)
707.npz,P 21 21 21 (No. 19)
708.npz,P -1 (No. 2)
709.npz,P -1 (No. 2)
710.npz,P 1 21/c 1 (No. 14)
711.npz,P -1 (No. 2)
712.npz,P b c a (No. 61)
713.npz,P b c a (No. 61)
714.npz,P -1 (No. 2)
715.npz,P 1 21/c 1 (No. 14)
716.npz,P -1 (No. 2)
717.npz,P 1 21 1 (No. 4)
718.npz,P 1 21 1 (No. 4)
719.npz,P 1 21/c 1 (No. 14)
720.npz,P 1 21/c 1 (No. 14)
721.npz,C 1 2/c 1 (No. 15)
722.npz,P 1 21/c 1 (No. 14)
723.npz,C 1 2/c 1 (No. 15)
724.npz,P b c a (No. 61)
